canonical,cell_name,count,logic_expr,n_inputs,tt_weight,anf_degree,is_affine,is_symmetric,is_monotone,is_anti_monotone,output_inv_count,input_inv_count,fet_count,n_nmos,n_pmos,nfin_n_total,nfin_p_total,nfin_ratio,max_stack_n,max_stack_p,n_internal_nets,total_transistors,cpp_min,cell_fraction,cpp_min_ds
0b10011011,3input0x31_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b10011011,3input0x31_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b10011110,3input0x32_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,0,0,0,0,0,20,10,10,20,20,1.000000,2,2,9,20,11,0.000000,11
0b10011110,3input0x32_X1_DH_P,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,0,0,0,0,0,20,10,10,20,20,1.000000,2,2,9,20,11,0.000000,11
0b10011111,3input0x33_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.750000,2,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b10011111,3input0x33_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.750000,2,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b10101000,AOI21_X1,0,,3,0.375000,3,0,0,0,1,0,3,6,3,3,6,6,1.000000,2,2,2,6,3,0.000000,3
0b10101000,AOI21_X2,0,,3,0.375000,3,0,0,0,1,0,3,6,3,3,6,6,1.000000,2,2,2,6,3,0.000000,3
0b10101001,3input0x35_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,9,0.000000,9
0b10101001,3input0x35_X1_DH_P,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,9,0.000000,9
0b10101011,3input0x36_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,0,0,0,0,1,8,4,4,8,8,1.000000,2,1,3,8,4,0.000000,4
0b10101100,3input0x37_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,2,10,5,5,10,10,1.000000,2,2,4,10,5,0.000000,5
0b10101100,3input0x37_X1_DH_P,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,2,10,5,5,10,10,1.000000,2,2,4,10,5,0.000000,5
0b10101101,3input0x38_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,0,0,0,0,1,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000,7
0b10101110,3input0x39_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,0,0,0,0,2,8,4,4,8,8,1.000000,2,2,3,8,4,0.000000,4
0b10111100,3input0x3A_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,0,0,0,0,1,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b10111100,3input0x3A_X1_DH_P,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,0,0,0,0,1,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b10111101,3input0x3B_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.750000,2,0,0,0,0,0,0,16,8,8,16,16,1.000000,2,2,7,16,8,0.000000,8
0b10111101,3input0x3B_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.750000,2,0,0,0,0,0,0,16,8,8,16,16,1.000000,2,2,7,16,8,0.000000,8
0b10111110,3input0x3C_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.750000,2,0,0,0,0,0,1,14,7,7,14,14,1.000000,2,1,6,14,7,0.000000,7
0b10111111,3input0x3D_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.875000,3,0,0,0,0,0,1,8,4,4,8,8,1.000000,2,1,3,8,4,0.000000,4
0b11101000,3input0x3E_X1,0,,3,0.500000,2,0,1,0,1,0,3,10,5,5,10,10,1.000000,2,3,4,10,5,0.000000,5
0b11101000,3input0x3E_X1_DH_P,0,,3,0.500000,2,0,1,0,1,0,3,10,5,5,10,10,1.000000,2,3,4,10,5,0.000000,5
0b11101001,3input0x3F_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,1,0,0,1,0,20,10,10,20,20,1.000000,1,1,9,20,10,0.000000,10
