name,cell_class,canonical_key
4input0xFEFF_X1,logic,0b1111111111111101
AND2_X1,logic,0b0001
AND2_X2,logic,0b0001
AND3_X1,logic,0b00000001
AND3_X2,logic,0b00000001
AO211_X1,logic,0b0111011101111111
AO22_X1,logic,0b0001000100011111
AO31_X1,logic,0b0101010101010111
AOI211_X1,logic,0b1000100010000000
AOI211_X2,logic,0b1000100010000000
AOI21_X1,logic,0b10101000
AOI21_X2,logic,0b10101000
AOI221_X1,logic,0b10101000101010001010100000000000
AOI222_X1_DH_N,logic,0b1110111011100000111011101110000011101110111000000000000000000000
AOI222_X1_DH_P,logic,0b1110111011100000111011101110000011101110111000000000000000000000
AOI222_X1_SH,logic,0b1110111011100000111011101110000011101110111000000000000000000000
AOI22_X1,logic,0b1110111011100000
AOI22_X2,logic,0b1110111011100000
AOI31_X1,logic,0b1010101010101000
BUF_X1,buf_inv,0b01
BUF_X2,buf_inv,0b01
BUF_X4,buf_inv,0b01
BUF_X8,buf_inv,0b01
DFFHQN_X1_DH,seq,
DFFHQN_X1_SH,seq,
DFFRNQ_X1_DH,seq,
DFFRNQ_X1_SH,seq,
FA_X1_DH,logic,0b11101000
FA_X1_SH,logic,0b11101000
HA_X1,logic,0b1110
INV_X1,buf_inv,0b10
INV_X2,buf_inv,0b10
INV_X4,buf_inv,0b10
INV_X8,buf_inv,0b10
LHQ_X1,seq,
MUX2_X1,logic,0b00011011
NAND2_X1,logic,0b1110
NAND2_X2,logic,0b1110
NAND3_X1,logic,0b11111110
NAND3_X2,logic,0b11111110
NAND4_X1,logic,0b1111111111111110
NAND4_X2,logic,0b1111111111111110
NOR2_X1,logic,0b1000
NOR2_X2,logic,0b1000
NOR3_X1,logic,0b10000000
NOR3_X2,logic,0b10000000
NOR4_X1,logic,0b1000000000000000
NOR4_X2,logic,0b1000000000000000
OA211_X1,logic,0b0000000100010001
OA22_X1,logic,0b0000011101110111
OA31_X1,logic,0b0001010101010101
OAI211_X1,logic,0b1111111011101110
OAI211_X2,logic,0b1111111011101110
OAI21_X1,logic,0b11101010
OAI21_X2,logic,0b11101010
OAI221_X1,logic,0b11111111111010101110101011101010
OAI222_X1_DH_N,logic,0b1111111111111111111110001000100011111000100010001111100010001000
OAI222_X1_DH_P,logic,0b1111111111111111111110001000100011111000100010001111100010001000
OAI222_X1_SH,logic,0b1111111111111111111110001000100011111000100010001111100010001000
OAI22_X1,logic,0b1111100010001000
OAI22_X2,logic,0b1111100010001000
OAI31_X1,logic,0b1110101010101010
OR2_X1,logic,0b0111
OR2_X2,logic,0b0111
OR3_X1,logic,0b01111111
OR3_X2,logic,0b01111111
XNOR2_X1,logic,0b1001
XNOR2_X2,logic,0b1001
XOR2_X1,logic,0b0110
