target_name,target_key,base_name,base_key,status,base_count,inv_count,total,reason,elapsed_s
3input0xF_X1,0b00011111,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.69
3input0xF_X1,0b00011111,OAI22_X1,0b1111100010001000,OK,3,1,4,,0.62
3input0xF_X1,0b00011111,OAI211_X1,0b1111111011101110,OK,3,1,4,,0.80
3input0x10_X1,0b00101000,AND3_X1,0b00000001,OK,3,5,8,,4.34
3input0x10_X1,0b00101000,OR3_X1,0b01111111,OK,4,4,8,,5.36
3input0x10_X1,0b00101000,AOI21_X1,0b10101000,OK,4,0,4,,0.34
3input0x10_X1,0b00101000,OAI21_X1,0b11101010,OK,5,0,5,,0.75
3input0x10_X1,0b00101000,NAND3_X1,0b11111110,OK,5,1,6,,1.15
3input0x10_X1,0b00101000,AOI211_X1,0b1000100010000000,OK,2,1,3,,0.30
3input0x10_X1,0b00101000,AOI22_X1,0b1110111011100000,OK,4,1,5,,1.43
3input0x10_X1,0b00101000,OAI22_X1,0b1111100010001000,OK,3,1,4,,0.76
3input0x10_X1,0b00101000,OAI211_X1,0b1111111011101110,OK,2,2,4,,1.01
3input0x11_X1_DH_N,0b00101001,AND3_X1,0b00000001,TIMEOUT,,,,,64.09
3input0x11_X1_DH_N,0b00101001,OR3_X1,0b01111111,TIMEOUT,,,,,39.68
3input0x11_X1_DH_N,0b00101001,AOI21_X1,0b10101000,OK,4,0,4,,0.43
3input0x11_X1_DH_N,0b00101001,OAI21_X1,0b11101010,OK,5,0,5,,0.78
3input0x11_X1_DH_N,0b00101001,NAND3_X1,0b11111110,OK,6,0,6,,1.83
3input0x11_X1_DH_N,0b00101001,AOI211_X1,0b1000100010000000,OK,4,1,5,,1.34
3input0x11_X1_DH_N,0b00101001,AOI22_X1,0b1110111011100000,OK,4,1,5,,1.49
3input0x11_X1_DH_N,0b00101001,OAI22_X1,0b1111100010001000,OK,4,1,5,,1.67
3input0x11_X1_DH_N,0b00101001,OAI211_X1,0b1111111011101110,OK,4,1,5,,1.39
3input0x12_X1,0b00101010,AND3_X1,0b00000001,OK,2,5,7,,2.31
3input0x12_X1,0b00101010,OR3_X1,0b01111111,OK,2,3,5,,1.09
3input0x12_X1,0b00101010,AOI21_X1,0b10101000,OK,3,0,3,,0.34
3input0x12_X1,0b00101010,OAI21_X1,0b11101010,OK,3,0,3,,0.26
3input0x12_X1,0b00101010,NAND3_X1,0b11111110,OK,4,1,5,,0.78
3input0x12_X1,0b00101010,AOI211_X1,0b1000100010000000,OK,2,1,3,,0.27
3input0x12_X1,0b00101010,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.71
3input0x12_X1,0b00101010,OAI22_X1,0b1111100010001000,OK,3,1,4,,0.73
3input0x12_X1,0b00101010,OAI211_X1,0b1111111011101110,OK,3,1,4,,1.18
3input0x13_X1,0b00101011,AND3_X1,0b00000001,OK,4,5,9,,19.21
3input0x13_X1,0b00101011,OR3_X1,0b01111111,OK,4,5,9,,26.32
3input0x13_X1,0b00101011,AOI21_X1,0b10101000,OK,4,0,4,,0.40
3input0x13_X1,0b00101011,OAI21_X1,0b11101010,OK,4,0,4,,0.38
3input0x13_X1,0b00101011,NAND3_X1,0b11111110,OK,4,1,5,,0.80
3input0x13_X1,0b00101011,AOI211_X1,0b1000100010000000,OK,3,1,4,,0.56
3input0x13_X1,0b00101011,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.77
3input0x13_X1,0b00101011,OAI22_X1,0b1111100010001000,OK,3,1,4,,0.79
3input0x13_X1,0b00101011,OAI211_X1,0b1111111011101110,OK,3,1,4,,0.98
3input0x14_X1,0b00101100,AND3_X1,0b00000001,OK,4,5,9,,19.69
3input0x14_X1,0b00101100,OR3_X1,0b01111111,OK,3,5,8,,4.46
3input0x14_X1,0b00101100,AOI21_X1,0b10101000,OK,3,0,3,,0.24
3input0x14_X1,0b00101100,OAI21_X1,0b11101010,OK,3,0,3,,0.22
3input0x14_X1,0b00101100,NAND3_X1,0b11111110,OK,5,1,6,,1.43
3input0x14_X1,0b00101100,AOI211_X1,0b1000100010000000,OK,3,1,4,,0.70
3input0x14_X1,0b00101100,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.92
3input0x14_X1,0b00101100,OAI22_X1,0b1111100010001000,OK,2,1,3,,0.44
3input0x14_X1,0b00101100,OAI211_X1,0b1111111011101110,OK,4,1,5,,1.23
3input0x15_X1_DH_P,0b00101101,AND3_X1,0b00000001,TIMEOUT,,,,,59.59
3input0x15_X1_DH_P,0b00101101,OR3_X1,0b01111111,TIMEOUT,,,,,38.74
3input0x15_X1_DH_P,0b00101101,AOI21_X1,0b10101000,OK,4,0,4,,0.30
3input0x15_X1_DH_P,0b00101101,OAI21_X1,0b11101010,OK,4,0,4,,0.55
3input0x15_X1_DH_P,0b00101101,NAND3_X1,0b11111110,OK,6,0,6,,1.33
