canonical_A,canonical_B,overlap_ratio
0b0000000000000010,0b1000100010001010,0.001229
0b0000000000000010,0b0000001011111111,0.013514
0b0000000000000010,0b00001110,0.003686
0b0000000000000010,0b00101111,0.002457
0b0000000000000010,0b1000000011111111,0.009828
0b0000000000000010,0b0111,0.002457
0b0000000000000010,0b1010101111111111,0.001229
0b0000000000000010,0b0010101011111111,0.001229
0b0000000000000010,0b0000000010001111,0.001229
0b0000000000000010,0b0000000010101011,0.001229
0b0000000000000010,0b0000000011111110,0.001229
0b11101111,0b00001000,0.003663
0b11101111,0b1111111111111110,0.020147
0b11101111,0b1111111011111111,0.042125
0b11101111,0b1000000000000000,0.003663
0b11101111,0b1110111111111111,0.597070
0b11101111,0b00001110,0.003663
0b11101111,0b0000000000001110,0.001832
0b11101111,0b00000001,0.034799
0b11101111,0b0000000000000010,0.084249
0b11101111,0b1010101010101011,0.003663
0b11101111,0b0000000000000001,0.001832
0b11101111,0b1010101010101110,0.003663
0b11101111,0b10111111,0.051282
0b11101111,0b1110111011101111,0.007326
0b11101111,0b1010101011101010,0.001832
0b11101111,0b00000010,0.018315
0b11101111,0b1000000011111111,0.025641
0b11101111,0b01111111,0.001832
0b11101111,0b10000000,0.009158
0b11101111,0b0000000000001000,0.009158
0b11101111,0b1000,0.005495
0b11101111,0b1011111111111111,0.007326
0b11101111,0b1011,0.005495
0b11101111,0b1010101111111111,0.007326
0b11101111,0b1010100010101010,0.001832
0b11101111,0b0000000010000000,0.001832
0b11101111,0b1010111011111111,0.001832
0b11101111,0b10101110,0.001832
0b11101111,0b0000001101010111,0.001832
0b11101111,0b0010101010101010,0.001832
0b11101111,0b0000000010001111,0.001832
0b11101111,0b1010101010101001,0.001832
0b11101111,0b1010111011101110,0.001832
0b00000010,0b1110111111111111,0.453012
0b00000010,0b0000000000000010,0.257831
0b00000010,0b11101111,0.024096
0b00000010,0b10000000,0.004819
0b00000010,0b0000000000001000,0.016867
0b00000010,0b1011111111111111,0.002410
0b00000010,0b1000101010101010,0.002410
0b00000010,0b10111111,0.028916
0b00000010,0b1010101010101000,0.002410
0b00000010,0b0010,0.045783
0b00000010,0b0000000010000000,0.014458
0b00000010,0b00001000,0.050602
0b00000010,0b1111111011111111,0.024096
0b00000010,0b01111111,0.002410
0b00000010,0b1000000011111111,0.004819
0b00000010,0b1111111111111110,0.007229
0b00000010,0b0000001011111111,0.012048
0b00000010,0b00000001,0.021687
0b00000010,0b0000000000000001,0.021687
0b00000010,0b0010101010101010,0.004819
0b00000010,0b0111111111111111,0.014458
0b00000010,0b1011,0.014458
0b00000010,0b1010100010101010,0.004819
0b00000010,0b0000000010101000,0.002410
0b00000010,0b01101001,0.002410
0b00000010,0b0000000111111110,0.002410
0b00000010,0b0000000010001111,0.002410
0b00000010,0b0000100011111111,0.002410
0b00000010,0b0000000111111111,0.002410
0b1110101011000000,0b0110100110010110,0.218750
0b1110101011000000,0b1001011001101001,0.278646
0b1110101011000000,0b01101001,0.330729
0b1110101011000000,0b10000010,0.312500
0b1110101011000000,0b10010110,0.221354
0b1110101011000000,0b0010100011111111,0.312500
0b1110101011000000,0b1000001000101000,0.020833
0b1110101011000000,0b1000001011111111,0.104167
0b1110101011000000,0b00101000,0.020833
0b1110101011000000,0b10101100,0.018229
0b1110101011000000,0b1001100111110000,0.013021
0b1110101011000000,0b0010,0.007812
0b1110101011000000,0b00101111,0.015625
0b1110101011000000,0b1000100011111000,0.005208
0b1110101011000000,0b0000011011111111,0.015625
0b1110101011000000,0b1000101110111000,0.010417
0b1110101011000000,0b0010100010000010,0.002604
0b1110101011000000,0b0001111011110000,0.002604
0b1111111111111110,0b11101111,0.040000
0b1111111111111110,0b1110111111111111,0.442857
0b1111111111111110,0b00000001,0.077143
0b1111111111111110,0b0000000000000010,0.142857
0b1111111111111110,0b1010101010101001,0.011429
