canonical,master_cell,cluster_presence,avg_instances
0b0000011011111111,3input0x2C_X1,1.000000,1.000000
0b1010101010101110,INV_X2,0.166667,0.166667
0b1010101010101110,NAND3_X2,0.333333,0.333333
0b1010101010101110,NAND2_X1,1.000000,1.000000
0b1010101010101110,INV_X1,0.833333,0.833333
0b1010101010101110,NAND3_X1,0.500000,0.500000
0b1010101010101110,3input0x2C_X1,0.166667,0.166667
0b11101010,NAND2_X1,0.500000,0.500000
0b11101010,OR2_X1,0.500000,0.500000
0b11101010,3input0x2C_X1,0.500000,0.500000
0b11101010,INV_X1,0.500000,0.500000
0b1000100010001010,AOI21_X1,0.800000,0.800000
0b1000100010001010,NAND2_X1,1.000000,1.000000
0b1000100010001010,AOI21_X2,0.200000,0.200000
0b1001100111110000,3input0x2C_X1,1.000000,1.000000
0b1001100111110000,XOR2_X1,1.000000,1.000000
0b1001100111110000,NOR2_X1,1.000000,1.000000
0b1001100111110000,INV_X1,1.000000,1.000000
0b1111111011101110,OR2_X1,1.000000,1.000000
0b1111111011101110,NAND3_X2,0.600000,0.600000
0b1111111011101110,NAND3_X1,0.400000,0.400000
0b00001011,AND2_X1,0.800000,0.800000
0b00001011,NAND2_X1,0.800000,0.800000
0b00001011,INV_X1,1.000000,1.000000
0b00001011,3input0x29_X1,0.200000,0.200000
0b1000101110111000,INV_X1,1.000000,1.000000
0b1000101110111000,3input0x2C_X1,1.000000,1.000000
0b1000101110111000,XNOR2_X1,1.000000,1.000000
0b1000101110111000,NOR2_X1,1.000000,1.000000
0b1000100010000000,3input0xF_X1,0.666667,0.666667
0b1000100010000000,NOR2_X1,0.666667,0.666667
0b1000100010000000,AOI21_X1,0.333333,0.333333
0b1000100010000000,OR2_X1,0.333333,0.333333
0b0000000000011111,3input0xF_X1,1.000000,1.000000
0b0000000000011111,AND2_X1,1.000000,1.000000
0b0000000010101011,NAND2_X1,0.500000,0.500000
0b0000000010101011,INV_X2,0.500000,0.500000
0b0000000010101011,AOI21_X1,0.500000,0.500000
0b0000000010101011,AND2_X1,0.500000,0.500000
